pan,,EliasBatalla@peacecorps.gov,IAP,Panama
zam,,CaitlinWickline@peacecorps.gov,EMA,Niger
tha,,RussellGin@peacecorps.gov,AFR,Thailand
chi,,MalikaGoupil@peacecorps.gov,Other,China
fij,,PedroGrow@peacecorps.gov,IAP,Fiji
bol,,ArnoldoCarver@peacecorps.gov,EMA,Bolivia
bul,,MartaCoutee@peacecorps.gov,AFR,Bulgaria
pan,,AltheaNagel@peacecorps.gov,Other,Zambia
zam,,WendiBarefoot@peacecorps.gov,IAP,Argentina
tha,,JeffersonNovello@peacecorps.gov,EMA,Moldova
chi,,KrisDue@peacecorps.gov,AFR,Mozambique
cos,,OlgaCrutcher@peacecorps.gov,Other,Costa Rica
gam,,NoraPinter@peacecorps.gov,IAP,The Gambia
ecu,,IsabelSpeaker@peacecorps.gov,EMA,Ecuador
rom,,LatoshaRothrock@peacecorps.gov,AFR,Romania
con,,GretaDeckman@peacecorps.gov,Other,Congo
par,,MarinBloss@peacecorps.gov,IAP,Paraguay
mex,,KimbraMcmackin@peacecorps.gov,EMA,Mexico
out,,HoseaGlantz@peacecorps.gov,AFR,Outer Space
ant,,KyongNigro@peacecorps.gov,Other,Antartica
