first_name,last_name,phone,email,trainee_input,project,cos,sitelocation,trainee_input
Elias,Batalla,610837895,EliasBatalla@gmail.com,N59,Health,08/08/2014,david chiriqui,
Caitlin,Wickline,371362113,CaitlinWickline@gmail.com,N60,edu,03/01/2014,Ocu veraguas,
Russell,Gin,750514265,RussellGin@gmail.com,N60,edu,03/01/2014,"los positos, chiriqui",
Malika,Goupil,989273678,MalikaGoupil@gmail.com,N60,Business,03/01/2014,santa fe darien,
Pedro,Grow,192031221,PedroGrow@gmail.com,N61,Health,05/15/2014,"rio hato, cocle",
Arnoldo,Carver,407713576,ArnoldoCarver@gmail.com,N61,edu,05/15/2014,"hato chami, comarca nagbe bugle",
Marta,Coutee,674111647,MartaCoutee@gmail.com,N61,Business,05/15/2014,"el tigre, comarca kuna yala",
Althea,Nagel,714220780,AltheaNagel@gmail.com,N62,Health,08/08/2014,"barretta, cocle",
Wendi,Barefoot,256230835,WendiBarefoot@gmail.com,N62,edu,08/08/2014,"las minas, bocas del torro",
Jefferson,Novello,924528312,JeffersonNovello@gmail.com,N62,Business,08/08/2014,"dupi , chiriqui",
Kris,Due,892606908,KrisDue@gmail.com,N62,edu,08/08/2014,"las tablas,  los santos",
Olga,Crutcher,903655182,OlgaCrutcher@gmail.com,N63,Business,12/08/2014,"las minas, herrerra",
Nora,Pinter,662320293,NoraPinter@gmail.com,N63,Health,12/08/2014,"bella vista, colon",
Isabel,Speaker,395079990,IsabelSpeaker@gmail.com,N63,edu,12/08/2014,"tole, chiriqui",
Latosha,Rothrock,599722564,LatoshaRothrock@gmail.com,N63,Business,12/08/2014,"isla grande, panama",
Greta,Deckman,129960536,GretaDeckman@gmail.com,N63,Health,12/08/2014,"silico creek, bocas del toro",
Marin,Bloss,770115003,MarinBloss@gmail.com,N63,Health,12/08/2014,"tugri, comarca ngabe bugle",
Kimbra,Mcmackin,537941344,KimbraMcmackin@gmail.com,N63,edu,12/08/2014,"python centro, chiriqui",
Hosea,Glantz,355528806,HoseaGlantz@gmail.com,N64,Business,03/15/2015,"bloss hill, comarca ngabe bugle ",
Kyong,Nigro,484345503,KyongNigro@gmail.com,N64,Health,03/15/2015,"barretta, cocle",
